Company_name_ticker
"Apple
AAPL"
"Microsoft
MSFT"
"Alphabet (Google)
GOOG"
"Amazon
AMZN"
"Tesla
TSLA"
"Berkshire Hathaway
BRK-B"
"UnitedHealth
UNH"
"Johnson & Johnson
JNJ"
"Visa
V"
"Meta Platforms (Facebook)
META"
"NVIDIA
NVDA"
"Walmart
WMT"
"Exxon Mobil
XOM"
"Procter & Gamble
PG"
"JPMorgan Chase
JPM"
"Mastercard
MA"
"Eli Lilly
LLY"
"Home Depot
HD"
"Pfizer
PFE"
"Coca-Cola
KO"
"Chevron
CVX"
"AbbVie
ABBV"
"Bank of America
BAC"
"Merck
MRK"
"Pepsico
PEP"
"Costco
COST"
"Verizon
VZ"
"Thermo Fisher Scientific
TMO"
"Broadcom
AVGO"
"McDonald
MCD"
"Abbott Laboratories
ABT"
"Oracle
ORCL"
"Danaher
DHR"
"Comcast
CMCSA"
"Cisco
CSCO"
"Adobe
ADBE"
"T-Mobile US
TMUS"
"Walt Disney
DIS"
"Nike
NKE"
"Salesforce
CRM"
"QUALCOMM
QCOM"
"Bristol-Myers Squibb
BMY"
"Nextera Energy
NEE"
"United Parcel Service
UPS"
"Intel
INTC"
"Wells Fargo
WFC"
"Texas Instruments
TXN"
"AT&T
T"
"Philip Morris
PM"
"Raytheon Technologies
RTX"
"Amgen
AMGN"
"Morgan Stanley
MS"
"Union Pacific Corporation
UNP"
"AMD
AMD"
"IBM
IBM"
"CVS Health
CVS"
"American Tower
AMT"
"S&P Global
SPGI"
"Lowe's Companies
LOW"
"Anthem
ANTM"
"Honeywell
HON"
"Charles Schwab
SCHW"
"Intuit
INTU"
"Lockheed Martin
LMT"
"ConocoPhillips
COP"
"American Express
AXP"
"Goldman Sachs
GS"
"Caterpillar
CAT"
"Deere & Company
DE"
"Starbucks
SBUX"
"BlackRock
BLK"
"Automatic Data Processing
ADP"
"Prologis
PLD"
"Estee Lauder
EL"
"Boeing
BA"
"Citigroup
C"
"ServiceNow
NOW"
"Mondelez
MDLZ"
"Cigna
CI"
"Duke Energy
DUK"
"PayPal
PYPL"
"Zoetis
ZTS"
"Applied Materials
AMAT"
"Analog Devices
ADI"
"Charter Communications
CHTR"
"Netflix
NFLX"
"Gilead Sciences
GILD"
"Southern Company
SO"
"Altria Group
MO"
"Marsh & McLennan Companies
MMC"
"Crown Castle
CCI"
"Intuitive Surgical
ISRG"
"Vertex Pharmaceuticals
VRTX"
"3M
MMM"
"Stryker Corporation
SYK"
"CME Group
CME"
"Northrop Grumman
NOC"
"TJX Companies
TJX"
"Booking.com
BKNG"
"Target
TGT"
